,donorID,amount,language,age,province,gender,gend,prov_01,prov_02,prov_03,prov_04,lang_01,lang_02,lang_03,donor,age_2
148564,140491,30.0,NL,76.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
148567,140493,15.0,NL,37.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
148576,140498,30.0,NL,67.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
148583,140504,30.0,NL,58.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
148609,140530,15.0,NL,69.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
148641,140566,123.0,NL,53.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
148718,140650,30.0,NL,52.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
148748,140676,120.0,NL,97.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
148751,140677,75.0,NL,61.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
148757,140683,30.0,NL,58.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
148780,140712,30.0,NL,68.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
148803,140735,7.5,NL,32.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
148832,140759,60.0,NL,66.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
148845,140770,15.0,NL,50.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
148906,140831,123.0,NL,100.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
148948,140869,60.0,NL,86.0,East Flanders,F,1,0,0,1,1,1,0,0,0,1
148960,281770,30.0,NL,59.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
149037,140936,123.0,NL,59.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
149046,140944,9.0,NL,68.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
149049,140947,30.0,NL,56.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
149110,141001,30.0,NL,59.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
149114,141003,15.0,NL,30.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
149137,141020,60.0,NL,75.0,Limburg,F,1,0,0,0,1,1,0,0,0,1
149155,141038,120.0,NL,33.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
149184,141066,30.0,NL,69.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
149189,141070,60.0,NL,86.0,Antwerp,M,0,1,0,0,1,1,0,0,0,1
149199,141076,15.0,NL,49.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
149235,141103,12.0,NL,56.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
149237,141104,120.0,NL,38.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
149244,141113,15.0,NL,70.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
149255,141120,15.0,NL,26.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
149257,141121,15.0,NL,99.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
149285,141146,15.0,NL,75.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
149378,141231,120.0,NL,82.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
149415,141270,15.0,NL,78.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
149461,141314,240.0,NL,35.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
149465,141319,15.0,NL,50.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
149513,141370,120.0,NL,75.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
149516,141373,123.0,NL,60.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
149535,141393,120.0,NL,45.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
149545,141400,30.0,NL,74.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
149598,141443,30.0,NL,61.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
149606,141450,30.0,NL,69.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
149627,141466,30.0,NL,41.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
149645,141481,75.0,NL,73.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
149660,141496,30.0,NL,30.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
149675,141512,120.0,NL,29.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
149714,141553,123.0,NL,51.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
149727,141560,6.0,NL,34.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
149743,141574,30.0,NL,74.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
149820,141662,60.0,NL,49.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,1
149830,141671,30.0,FR,26.0,Brussels,M,0,0,0,0,1,0,1,0,0,0
149846,141687,120.0,NL,69.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
149874,141716,30.0,NL,55.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
149883,141722,15.0,NL,46.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
149915,141757,60.0,NL,84.0,Brussels,F,1,0,0,0,1,1,0,0,0,1
149920,141760,7.5,NL,47.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
149944,141772,15.0,NL,36.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
149979,141813,30.0,NL,32.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
150065,141903,75.0,NL,61.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
150072,141908,300.0,NL,47.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
150118,141984,123.0,FR,62.0,Hainaut,F,1,0,0,0,1,0,1,0,1,1
150285,142168,15.0,NL,61.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
150360,142177,30.0,NL,69.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
150430,142235,60.0,NL,95.0,Limburg,F,1,0,0,0,1,1,0,0,0,1
150620,144274,15.0,NL,47.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
150680,144351,123.0,NL,63.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
150683,144353,120.0,NL,47.0,Limburg,M,0,0,0,0,1,1,0,0,1,1
150698,144356,6.0,FR,51.0,Hainaut,M,0,0,0,0,1,0,1,0,0,0
150780,144377,15.0,NL,48.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
151109,144450,120.0,NL,60.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,1,1
151157,144466,30.0,NL,69.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
151189,144479,60.0,NL,60.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,1
151223,144491,12.0,NL,65.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
151238,144496,120.0,NL,57.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
151519,144618,60.0,NL,34.0,West Flanders,F,1,0,1,0,1,1,0,0,0,1
151529,144621,30.0,NL,60.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
151531,144622,120.0,NL,82.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
151535,144623,15.0,NL,48.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
151543,144624,120.0,NL,70.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
