,donorID,amount,language,age,province,gender,gend,prov_01,prov_02,prov_03,prov_04,lang_01,lang_02,lang_03,donor,age_2
35527,105448,75.0,NL,87.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
35605,105462,15.0,NL,61.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
35618,105463,150.0,NL,29.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
35626,105468,123.0,NL,76.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
35851,105538,45.0,NL,75.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
35865,105546,60.0,FR,54.0,Liege,F,1,0,0,0,1,0,1,0,0,1
36450,105650,123.0,NL,74.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
36629,105699,60.0,NL,70.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
36632,105700,90.0,NL,52.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
36636,105702,123.0,NL,30.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
37501,105785,30.0,NL,71.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
37579,105798,45.0,NL,52.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
37680,105812,15.0,NL,47.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
37714,105824,15.0,NL,55.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
37840,105861,120.0,NL,68.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
37873,105871,60.0,NL,96.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
37902,105880,60.0,NL,67.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
37935,105891,120.0,NL,40.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
38259,105944,45.0,NL,37.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
38559,317880,157.5,NL,59.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
38589,105965,120.0,NL,69.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
38923,106008,123.0,NL,69.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
39033,106043,120.0,NL,52.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
39355,106114,120.0,NL,72.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
39414,106130,90.0,NL,81.0,Limburg,M,0,0,0,0,1,1,0,0,1,1
39540,106164,150.0,NL,38.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
39589,106172,60.0,NL,78.0,West Flanders,M,0,0,1,0,1,1,0,0,0,1
39606,106179,120.0,NL,58.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
39768,212406,21.0,NL,59.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
39770,106204,15.0,NL,56.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
40152,106272,120.0,FR,34.0,Liege,F,1,0,0,0,1,0,1,0,1,1
40188,106280,120.0,NL,86.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
40341,106310,30.0,NL,30.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
40668,106365,135.0,NL,67.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
40673,106367,30.0,NL,28.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
40802,106396,150.0,NL,42.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,1,1
41160,106454,120.0,NL,66.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
41175,106464,30.0,NL,36.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
41290,106474,150.0,NL,60.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
41455,106517,9.0,NL,65.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
41619,106543,60.0,NL,78.0,East Flanders,F,1,0,0,1,1,1,0,0,0,1
42343,106627,75.0,NL,65.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
42620,106673,9.0,NL,68.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
43030,106748,15.0,NL,70.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
43060,106751,75.0,NL,59.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
43423,106807,150.0,NL,65.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
43566,106838,150.0,NL,95.0,Antwerp,M,0,1,0,0,1,1,0,0,1,1
43732,106869,150.0,NL,41.0,Limburg,M,0,0,0,0,1,1,0,0,1,1
43863,106893,60.0,NL,44.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
43910,106901,60.0,NL,38.0,East Flanders,F,1,0,0,1,1,1,0,0,0,1
43971,106913,123.0,NL,39.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
44441,107024,60.0,NL,47.0,West Flanders,F,1,0,1,0,1,1,0,0,0,1
44495,107032,30.0,NL,26.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
44543,107039,120.0,NL,53.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
44577,107043,30.0,NL,32.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
45073,107110,75.0,NL,36.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
45651,107252,135.0,NL,75.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
46225,107353,15.0,NL,47.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
46414,107398,30.0,NL,49.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
46544,107424,120.0,NL,57.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
46814,107435,120.0,NL,29.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
46824,107437,120.0,NL,78.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
46862,107444,150.0,NL,63.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
47637,107578,30.0,NL,89.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
47754,107611,30.0,NL,71.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
47817,107625,120.0,NL,51.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
48046,107665,123.0,NL,60.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
48345,107728,60.0,NL,50.0,Antwerp,M,0,1,0,0,1,1,0,0,0,1
48549,107761,120.0,NL,49.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
49107,107841,123.0,NL,50.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
49651,107950,123.0,NL,74.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
49764,107961,30.0,NL,67.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
49846,107975,30.0,NL,45.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
49930,107998,135.0,NL,63.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
50019,108029,123.0,NL,42.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
50176,108046,30.0,NL,27.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
50269,108073,15.0,NL,54.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
50541,108133,150.0,NL,68.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
50818,108174,60.0,NL,75.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,1
51171,108257,120.0,NL,63.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
51254,108270,123.0,NL,54.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
51462,108301,15.0,NL,43.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
51558,108309,15.0,NL,30.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
51650,108319,60.0,NL,64.0,East Flanders,F,1,0,0,1,1,1,0,0,0,1
51656,108321,120.0,NL,74.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
51665,108325,30.0,NL,53.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
51718,108338,9.0,NL,59.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
51742,108345,60.0,NL,39.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
51749,108348,60.0,NL,74.0,East Flanders,F,1,0,0,1,1,1,0,0,0,1
51936,108389,120.0,NL,49.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
52121,108424,15.0,NL,27.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
52209,108440,120.0,NL,55.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
52258,108457,150.0,NL,55.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
52441,108502,120.0,NL,72.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
52728,108559,60.0,NL,43.0,Limburg,M,0,0,0,0,1,1,0,0,0,1
52971,108624,150.0,FR,97.0,West Flanders,F,1,0,1,0,1,0,1,0,1,1
53500,108680,120.0,NL,78.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
53937,108780,120.0,NL,44.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
54700,108946,120.0,NL,92.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
55113,109023,792.45,NL,59.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,1,1
55397,109072,30.0,NL,56.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
55475,109096,75.0,NL,92.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
55566,109110,150.0,FR,64.0,Flemish Brabant,F,1,0,0,0,1,0,1,0,1,1
55576,109113,60.0,NL,77.0,East Flanders,M,0,0,0,1,1,1,0,0,0,1
55641,109127,60.0,NL,84.0,East Flanders,M,0,0,0,1,1,1,0,0,0,1
55861,109177,30.0,NL,69.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
55909,109186,90.0,NL,55.0,Limburg,M,0,0,0,0,1,1,0,0,1,1
56339,109256,9.0,NL,29.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
56439,109271,123.0,NL,84.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
56802,109349,60.0,NL,54.0,West Flanders,F,1,0,1,0,1,1,0,0,0,1
56858,109358,30.0,NL,48.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
57012,109399,150.0,NL,59.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
57324,109479,12.0,FR,33.0,Luxembourg,F,1,0,0,0,1,0,1,0,0,0
57350,109490,120.0,NL,90.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
57523,109523,1.5,NL,49.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
57708,109559,120.0,NL,58.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
57929,109602,30.0,NL,78.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
58012,109609,7.5,NL,55.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
58035,109612,75.0,NL,50.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
58230,109648,150.0,NL,79.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
58512,109721,120.0,NL,80.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,1,1
58621,109741,7.5,NL,34.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
58927,109778,30.0,NL,38.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
58967,109783,9.0,FR,56.0,Brussels,M,0,0,0,0,1,0,1,0,0,0
59092,109802,34.5,NL,95.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
59453,109840,150.0,NL,40.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
59560,109861,7.5,NL,62.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
59673,109884,120.0,NL,61.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
59757,109893,60.0,NL,73.0,East Flanders,F,1,0,0,1,1,1,0,0,0,1
60067,109955,30.0,NL,52.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
60303,110003,15.0,NL,65.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
60826,110095,30.0,NL,57.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
60839,110097,60.0,NL,52.0,East Flanders,F,1,0,0,1,1,1,0,0,0,1
60955,110127,30.0,NL,61.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
60971,110134,123.0,NL,33.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
61148,110171,120.0,NL,75.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
61193,110187,120.0,NL,60.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
61659,110260,123.0,NL,33.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
61731,110271,45.0,NL,65.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
62039,110313,120.0,FR,49.0,West Flanders,F,1,0,1,0,1,0,1,0,1,1
62232,110348,30.0,NL,46.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
62350,110370,15.0,NL,41.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
62578,110390,15.0,NL,47.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
62764,110433,15.0,NL,34.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
62952,110465,30.0,NL,67.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
63077,110485,120.0,NL,55.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
63243,110504,6.0,NL,52.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
63255,110505,120.0,NL,70.0,Antwerp,M,0,1,0,0,1,1,0,0,1,1
63464,110553,6.0,NL,56.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
63478,110555,30.0,NL,95.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
63528,110559,7.5,NL,65.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
63621,110583,7.5,NL,31.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
63639,110585,30.0,NL,66.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
63717,110596,120.0,NL,70.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
63722,110598,75.0,NL,64.0,Limburg,M,0,0,0,0,1,1,0,0,1,1
63724,110599,45.0,FR,83.0,Brussels,F,1,0,0,0,1,0,1,0,0,0
63773,110616,15.0,NL,66.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
63868,110630,120.0,NL,41.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
64093,110688,30.0,NL,47.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
64196,110716,123.0,NL,45.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
64269,110730,150.0,NL,28.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
64324,110745,45.0,NL,50.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
64401,110757,45.0,NL,37.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
64407,110762,120.0,NL,30.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
64415,110765,135.0,NL,54.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
64600,110797,123.0,NL,46.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
64692,110811,30.0,NL,69.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
64975,110858,15.0,NL,67.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
65667,111013,120.0,NL,98.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
65688,111016,60.0,NL,63.0,West Flanders,M,0,0,1,0,1,1,0,0,0,1
65921,111048,30.0,NL,52.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
66195,111099,123.0,NL,30.0,Antwerp,M,0,1,0,0,1,1,0,0,1,1
66210,111106,15.0,NL,56.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
66227,111109,60.0,NL,47.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
66356,111148,300.0,FR,48.0,Brussels,M,0,0,0,0,1,0,1,0,1,1
66585,111214,120.0,NL,94.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
66678,111236,15.0,NL,47.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
66767,111254,120.0,NL,65.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
66838,111276,15.0,NL,43.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
66907,111290,15.0,NL,71.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
67117,111348,60.0,NL,30.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
67155,111362,60.0,NL,67.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
67173,111365,123.0,FR,82.0,Brussels,M,0,0,0,0,1,0,1,0,1,1
67221,111380,15.0,NL,43.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
67686,111483,123.0,NL,86.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
67806,111527,30.0,NL,66.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
67867,111542,120.0,NL,53.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
67927,111559,300.0,NL,35.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,1,1
68124,111618,123.0,NL,77.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
68142,111625,150.0,NL,50.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
68172,111629,120.0,NL,89.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
68434,111712,120.0,NL,59.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
68627,111760,120.0,NL,68.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
68654,111766,261.0,NL,46.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
68673,111767,120.0,NL,54.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
68727,111778,120.0,NL,100.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
68884,111826,120.0,NL,45.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
68997,111843,120.0,NL,62.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
69051,111851,45.0,NL,58.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
69097,111863,60.0,NL,67.0,Limburg,F,1,0,0,0,1,1,0,0,0,1
69104,111865,120.0,NL,44.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
69125,111880,120.0,NL,53.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
69174,111902,150.0,NL,78.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
69232,111925,15.0,NL,35.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
69240,111928,15.0,NL,53.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
69272,111943,30.0,NL,83.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
69368,111974,30.0,NL,47.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
69510,112004,150.0,NL,70.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
69830,112077,150.0,NL,89.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
69921,112095,120.0,NL,79.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
69924,112097,30.0,NL,51.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
69936,112100,30.0,NL,58.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
70030,112133,60.0,NL,73.0,West Flanders,M,0,0,1,0,1,1,0,0,0,1
70422,112234,30.0,NL,67.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
70472,112242,30.0,FR,75.0,Hainaut,M,0,0,0,0,1,0,1,0,0,0
70660,112270,7.5,NL,60.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
70763,112301,120.0,NL,42.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
70945,112352,60.0,NL,73.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
71102,112382,60.0,NL,33.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
71346,112424,75.0,NL,45.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
71371,112429,30.0,FR,56.0,Brussels,F,1,0,0,0,1,0,1,0,0,0
71403,112442,123.0,NL,78.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
71721,112512,150.0,NL,50.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,1,1
72241,112645,60.0,NL,82.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,1
72363,112662,120.0,NL,61.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
72622,112725,120.0,NL,43.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
72649,225460,24.0,NL,59.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
72654,112732,123.0,NL,100.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
72665,112739,45.0,NL,72.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
72890,112782,150.0,NL,34.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
73158,112829,150.0,NL,46.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
73470,112906,123.0,NL,83.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
73481,112910,120.0,NL,59.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
73588,112927,15.0,NL,65.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
73901,112978,120.0,NL,55.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
73927,112989,150.0,NL,36.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
73938,112992,120.0,NL,37.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
74091,113043,60.0,NL,67.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
74647,113151,150.0,NL,55.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
75036,113201,60.0,NL,30.0,Limburg,F,1,0,0,0,1,1,0,0,0,1
75853,113435,10.5,NL,26.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
76013,113481,120.0,NL,74.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
76112,113509,300.0,NL,99.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
76481,113608,300.0,NL,27.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
76646,113672,75.0,NL,47.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
76927,113751,120.0,NL,74.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
77252,113821,123.0,NL,52.0,Antwerp,M,0,1,0,0,1,1,0,0,1,1
77577,113918,30.0,NL,48.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
77629,113933,150.0,NL,46.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
77647,113934,180.0,NL,81.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
77902,114005,120.0,NL,32.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
78027,114041,150.0,NL,72.0,Antwerp,M,0,1,0,0,1,1,0,0,1,1
78332,114127,15.0,NL,47.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
78453,114154,120.0,NL,60.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
78481,114167,15.0,NL,40.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
78522,114184,60.0,NL,82.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
78532,114188,120.0,NL,57.0,Antwerp,M,0,1,0,0,1,1,0,0,1,1
78550,114191,60.0,NL,53.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,1
78626,114228,120.0,NL,63.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,1,1
78748,114263,45.0,NL,48.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
78776,114274,120.0,NL,42.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
78865,114288,150.0,NL,74.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
78868,114293,126.0,NL,52.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
79147,114376,150.0,NL,50.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
79158,114384,30.0,NL,39.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
79240,114404,123.0,NL,58.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
79356,114426,120.0,NL,97.0,Limburg,M,0,0,0,0,1,1,0,0,1,1
79440,114446,30.0,NL,59.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
79487,114460,30.0,NL,27.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
80076,114617,30.0,NL,61.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
80344,114660,75.0,NL,34.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
80351,114663,60.0,NL,61.0,West Flanders,F,1,0,1,0,1,1,0,0,0,1
80377,114671,60.0,NL,61.0,West Flanders,F,1,0,1,0,1,1,0,0,0,1
80411,114684,123.0,NL,78.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
80467,114709,150.0,NL,34.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
80820,114807,60.0,NL,53.0,West Flanders,F,1,0,1,0,1,1,0,0,0,1
80826,114809,120.0,NL,27.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
80941,114848,30.0,NL,73.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
81311,114931,7.5,NL,29.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
81420,114960,30.0,NL,83.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
81491,114979,15.0,NL,28.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
81581,114999,120.0,NL,94.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
81617,115011,30.0,NL,54.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
81820,115076,75.0,NL,55.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
81861,115090,15.0,NL,42.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
81874,115099,135.0,NL,75.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
82048,115153,150.0,NL,63.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
82050,115154,120.0,NL,38.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
82238,115175,150.0,NL,81.0,Antwerp,M,0,1,0,0,1,1,0,0,1,1
82573,115264,120.0,NL,65.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
82604,115270,15.0,NL,44.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
82667,115280,75.0,FR,74.0,West Flanders,F,1,0,1,0,1,0,1,0,1,1
82859,115320,120.0,NL,65.0,Limburg,M,0,0,0,0,1,1,0,0,1,1
82982,115361,75.0,FR,63.0,Luxembourg,F,1,0,0,0,1,0,1,0,1,1
83380,115415,150.0,NL,94.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
83538,115471,150.0,NL,29.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
83568,115481,45.0,NL,35.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
83629,115505,120.0,NL,51.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
83868,115578,120.0,NL,33.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
83885,115590,60.0,NL,62.0,East Flanders,F,1,0,0,1,1,1,0,0,0,1
84086,115652,30.0,NL,71.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
84141,115674,123.0,NL,49.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
84396,231512,24.0,NL,59.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
84469,115765,30.0,NL,37.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
84701,115802,30.0,NL,60.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
84859,115838,30.0,NL,74.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
85078,115905,150.0,NL,69.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
